name,description,site_type,longitude,latitude,elevation,datum
HH78,,Household,-86.49284700863063,13.52496301755309,757.74231,WGS 84
HH79,,Household,-86.49216698482633,13.52400203235447,752.695618,WGS 84
HH80,,Household,-86.49213496595621,13.52469999343157,751.561096,WGS 84
HH81,,Household,-86.49224300868809,13.52502403780818,766.285156,WGS 84
HH82,,Household,-86.49225901812315,13.52532302029431,767.348816,WGS 84
HH83,,Household,-86.4919179584831,13.52533400058746,763.026672,WGS 84
HH84,,Household,-86.4920199662447,13.52566902525723,766.74353,WGS 84
HH85,,Household,-86.49215399287641,13.52587698027492,766.930969,WGS 84
HH86,,Household,-86.4917329698801,13.52595501579344,766.983276,WGS 84
HH87,,Household,-86.49035800248384,13.52455004118383,745.418518,WGS 84
HH88,,Household,-86.49006103165448,13.52300299331546,744.764587,WGS 84
HH89,,Household,-86.48937899619341,13.51696399971843,768.057251,WGS 84
HH90,,Household,-86.489481003955,13.51673802360892,767.527832,WGS 84
HH91,,Household,-86.48960899561644,13.51664297282696,767.488525,WGS 84
HH92,,Household,-86.48990102112293,13.51641096174717,765.134644,WGS 84
HH93,,Household,-86.48946398869157,13.5161969717592,752.960266,WGS 84
HH94,,Household,-86.48928998038173,13.51625002920628,748.451965,WGS 84
HH95,,Household,-86.48894598707557,13.51625598035753,738.002869,WGS 84
HH96,,Household,-86.48860501125455,13.51647198200226,740.256714,WGS 84
NL01,,New Latrine Site,-86.49077500216663,13.51994100026786,752.256104,WGS 84
NL02,,New Latrine Site,-86.49065296165645,13.52039203047752,748.082397,WGS 84
NL03,,New Latrine Site,-86.49066402576864,13.52056603878736,750.419128,WGS 84
NL06,MARTA PEREZ    SC01 HH6,New Latrine Site,-86.49291498586535,13.52150900289416,758.781738,WGS 84
NL09,,New Latrine Site,-86.4928299933672,13.5215019620955,755.743164,WGS 84
NL10,,New Latrine Site,-86.4925979822874,13.52206002920866,766.727295,WGS 84
NL12,,New Latrine Site,-86.49356299079955,13.52158301509917,761.569092,WGS 84
NL15,,New Latrine Site,-86.49480300955474,13.52020201273263,753.396301,WGS 84
NL18,,New Latrine Site,-86.49495497345924,13.52193396538496,756.187622,WGS 84
NL21,Percolection: Test # 2 Soil Composition: Test # 2,New Latrine Site,-86.49573097005486,13.52161603979766,766.872925,WGS 84
NL22,Groundwater test ,New Latrine Site,-86.49635198526084,13.52142602205276,771.905823,WGS 84
NL23,,New Latrine Site,-86.49600899778306,13.52035799995065,782.181091,WGS 84
NL24,,New Latrine Site,-86.49634301662445,13.52027803659439,785.920349,WGS 84
NL29,,New Latrine Site,-86.49795301258564,13.52178200148046,790.3178099999999,WGS 84
NL31,Percolection: Test # 03 Soil Composition: Test # 03,New Latrine Site,-86.4980520028621,13.5215950012207,798.170471,WGS 84
NL33,,New Latrine Site,-86.49811503477395,13.52104296907783,785.463074,WGS 84
NL34,,New Latrine Site,-86.49841703474522,13.52094003930688,786.183105,WGS 84
NL39,,New Latrine Site,-86.49875398725271,13.52156298235059,823.2763669999999,WGS 84
NL41,,New Latrine Site,-86.49775695987046,13.52266796864569,790.700317,WGS 84
NL42,Percolection:  Test # 04 Soil Composition: Test # 04,New Latrine Site,-86.49783197790384,13.52333902381361,783.277649,WGS 84
NL45,,New Latrine Site,-86.49889899417758,13.52354999631643,787.3067629999999,WGS 84
NL47,,New Latrine Site,-86.4984320383519,13.52433596737683,784.8541260000001,WGS 84
NL50,,New Latrine Site,-86.49945303797722,13.52433898486197,806.81481900000006,WGS 84
NL51,,New Latrine Site,-86.49913201108575,13.52348000742495,749.887878,WGS 84
NL52,,New Latrine Site,-86.49923301301897,13.52344396524131,769.962708,WGS 84
NL54,,New Latrine Site,-86.49977800436318,13.52257995866239,806.829956,WGS 84
NL55,,New Latrine Site,-86.50008503347635,13.52246001362801,813.0448609999999,WGS 84
NL69,,New Latrine Site,-86.49646899662912,13.52320700883865,775.28363,WGS 84
NL73,,New Latrine Site,-86.49542695842683,13.52357698604465,776.504395,WGS 84
NL75,Percolectipn: Test # 5 Soil Composition:  Test # 5,New Latrine Site,-86.49560096673667,13.52454903535545,767.325256,WGS 84
NL77,,New Latrine Site,-86.49349400773644,13.52518295869231,757.533691,WGS 84
NL79,,New Latrine Site,-86.49211401119828,13.52386699989438,752.367371,WGS 84
NL80,,New Latrine Site,-86.49231098592281,13.52465598843992,752.527893,WGS 84
NL81,Percoletion #6 Soil Compotion #6,New Latrine Site,-86.4924549870193,13.52501297369599,755.329468,WGS 84
OL01,,Existing Latrine Site,-86.49073401466012,13.52006597444415,751.843933,WGS 84
OL02,CARLOS,Existing Latrine Site,-86.49065296165645,13.52039001882076,749.049011,WGS 84
OL03,,Existing Latrine Site,-86.49059898220003,13.52052203379571,748.819397,WGS 84
OL04,,Existing Latrine Site,-86.49073996581137,13.5206520371139,751.873352,WGS 84
OL05,,Existing Latrine Site,-86.49101195856929,13.52085303515196,752.872742,WGS 84
OL06,,Existing Latrine Site,-86.49317901581526,13.52141504175961,758.713074,WGS 84
OL07,,Existing Latrine Site,-86.49131496436894,13.52242698892951,757.954651,WGS 84
